SVM-after SVM-next NB-after NB-next boost-after boost-next



0.660377  0.603774  0.584906  0.584906  0.509434  0.415094  
0.584906  0.566038  0.641509  0.603774  0.660377  0.641509  
0.584906  0.584906  0.490566  0.566038  0.509434  0.471698  
0.698113  0.698113  0.490566  0.509434  0.452830  0.415094  
0.566038  0.509434  0.566038  0.584906  0.452830  0.471698  
0.566038  0.509434  0.415094  0.490566  0.490566  0.471698  
0.566038  0.509434  0.547170  0.566038  0.471698  0.528302  
0.509434  0.471698  0.528302  0.471698  0.528302  0.528302  
0.735849  0.641509  0.528302  0.490566  0.603774  0.584906  
0.547170  0.547170  0.566038  0.603774  0.509434  0.584906  
0.622642  0.566038  0.660377  0.603774  0.566038  0.584906  
0.490566  0.433962  0.509434  0.584906  0.509434  0.490566  
0.660377  0.603774  0.641509  0.603774  0.603774  0.547170  
0.584906  0.528302  0.566038  0.584906  0.641509  0.584906  
0.622642  0.622642  0.528302  0.547170  0.471698  0.471698  
0.566038  0.603774  0.490566  0.509434  0.490566  0.490566  
0.452830  0.396226  0.490566  0.547170  0.547170  0.528302  
0.566038  0.528302  0.509434  0.566038  0.622642  0.584906  
0.603774  0.547170  0.698113  0.641509  0.584906  0.603774  
0.528302  0.584906  0.566038  0.415094  0.566038  0.509434  
0.584906  0.547170  0.433962  0.415094  0.509434  0.471698  
0.528302  0.490566  0.528302  0.547170  0.566038  0.490566  
0.566038  0.547170  0.584906  0.584906  0.566038  0.584906  
0.566038  0.471698  0.679245  0.584906  0.566038  0.547170  
0.603774  0.547170  0.584906  0.509434  0.584906  0.603774  
0.528302  0.528302  0.584906  0.528302  0.547170  0.509434  
0.660377  0.566038  0.396226  0.433962  0.566038  0.471698  
0.603774  0.566038  0.679245  0.660377  0.584906  0.584906  
0.566038  0.566038  0.471698  0.547170  0.490566  0.490566  
